日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020/3/16,'601600,中国铝业,3.01,3.09,2.99,3.09,3.05,-0.04,-1.3115,0.443,57932825,176134995,51238245583,39366908019
2020/3/13,'601600,中国铝业,3.05,3.08,2.95,3,3.08,-0.03,-0.974,0.4654,60867099,183359596,51919152501,39890056298
2020/3/12,'601600,中国铝业,3.08,3.11,3.06,3.07,3.1,-0.02,-0.6452,0.409,53488742,164415935,52429832689,40282417508
2020/3/11,'601600,中国铝业,3.1,3.15,3.09,3.13,3.13,-0.03,-0.9585,0.4099,53603578,167355508,52770286148,40543991647
2020/3/10,'601600,中国铝业,3.13,3.14,3.06,3.07,3.1,0.03,0.9677,0.5148,67331242,208891853,53280966337,40936352857
2020/3/9,'601600,中国铝业,3.1,3.13,3.08,3.11,3.18,-0.08,-2.5157,0.6187,80914196,251051737,52770286148,40543991647
2020/3/6,'601600,中国铝业,3.18,3.21,3.16,3.2,3.24,-0.06,-1.8519,0.6391,83583245,265788586,54132099984,41590288206
2020/3/5,'601600,中国铝业,3.24,3.28,3.18,3.21,3.19,0.05,1.5674,0.8756,114511546,369531324,55153460361,42375010625
2020/3/4,'601600,中国铝业,3.19,3.2,3.14,3.15,3.17,0.02,0.6309,0.5044,65972247,209179669,54302326714,41721075276
2020/3/3,'601600,中国铝业,3.17,3.22,3.15,3.2,3.17,0,0,0.6009,78591409,250103869,53961873255,41459501136
2020/3/2,'601600,中国铝业,3.17,3.2,3.07,3.07,3.06,0.11,3.5948,0.6482,84778318,266674397,53961873255,41459501136
2020/2/28,'601600,中国铝业,3.06,3.12,3.04,3.09,3.15,-0.09,-2.8571,0.6655,87041869,267361113,52089379230,40020843368
2020/2/27,'601600,中国铝业,3.15,3.22,3.15,3.18,3.19,-0.04,-1.2539,0.5004,65441455,208084318,53621419796,41197926996
2020/2/26,'601600,中国铝业,3.19,3.25,3.07,3.07,3.11,0.08,2.5723,0.9123,119322368,379846251,54302326714,41721075276
